id,text,true_labels,pred_labels,prob_TRISTEZA,prob_ESTRES_ANSIEDAD,prob_ENFADO_IRRITACION,prob_SOBRECARGA_URGENCIA,prob_CANSANCIO_FATIGA,prob_POSITIVO_ALIVIO,prob_NEUTRO,errors,is_fallback
9025,"Cuando termine la clase, comparto el enlace por aquí.",['NEUTRO'],['NEUTRO'],0.007,0.011,0.014,0.016,0.012,0.020,0.978,OK,False
9026,Estoy preparando el guion de la demo; lo paso luego.,['NEUTRO'],['NEUTRO'],0.008,0.012,0.011,0.012,0.014,0.020,0.976,OK,False
9027,Voy completando la sección de resultados y lo subo al final.,['NEUTRO'],['SOBRECARGA_URGENCIA'],0.002,0.006,0.004,0.993,0.005,0.002,0.004,SOBRECARGA_URGENCIA:FP; NEUTRO:FN,False
9028,Queda pendiente revisar el formato de entrega.,['NEUTRO'],['NEUTRO'],0.009,0.017,0.010,0.015,0.013,0.014,0.980,OK,False
9029,Revisamos esto en la daily de mañana y lo cerramos.,['NEUTRO'],['NEUTRO'],0.004,0.023,0.007,0.037,0.007,0.014,0.963,OK,False
9030,El plazo es hoy y todavía nos falta medio apartado.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.006,0.004,0.994,0.004,0.002,0.005,OK,False
9031,Quedan 20 minutos para subirlo y sigue fallando el build.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.008,0.004,0.995,0.005,0.002,0.004,OK,False
9032,"Esto es bloqueante: si no mergeamos ya, no sale la entrega.",['SOBRECARGA_URGENCIA'],"['ESTRES_ANSIEDAD', 'SOBRECARGA_URGENCIA']",0.004,0.992,0.006,0.932,0.004,0.005,0.009,ESTRES_ANSIEDAD:FP,False
9033,Se nos ha acumulado todo y no damos abasto.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.008,0.005,0.996,0.006,0.002,0.003,OK,False
9034,Tenemos el release en una hora y aún hay bugs críticos.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.008,0.004,0.995,0.005,0.002,0.004,OK,False
9035,Voy a contrarreloj: me quedan tres tareas grandes por cerrar.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.010,0.003,0.995,0.004,0.002,0.004,OK,False
9036,Nos han cambiado los requisitos y la entrega es esta noche.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.002,0.053,0.965,0.003,0.004,0.008,OK,False
9037,"Si no lo arreglamos ahora, se rompe producción.",['SOBRECARGA_URGENCIA'],"['ESTRES_ANSIEDAD', 'SOBRECARGA_URGENCIA']",0.002,0.659,0.003,0.998,0.008,0.002,0.003,ESTRES_ANSIEDAD:FP,False
9038,Estoy con el agua al cuello; no llego a todo.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.009,0.004,0.996,0.006,0.002,0.003,OK,False
9039,Queda por integrar y el profesor lo revisa mañana a primera hora.,['SOBRECARGA_URGENCIA'],['NEUTRO'],0.003,0.005,0.010,0.181,0.004,0.013,0.826,SOBRECARGA_URGENCIA:FN; NEUTRO:FP,False
9040,"Necesito que alguien revise esto ya, porque está bloqueando.",['SOBRECARGA_URGENCIA'],"['ESTRES_ANSIEDAD', 'SOBRECARGA_URGENCIA']",0.004,0.985,0.005,0.990,0.004,0.005,0.007,ESTRES_ANSIEDAD:FP,False
9041,Quedan dos horas y falta la mitad de la presentación.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.006,0.004,0.993,0.004,0.002,0.005,OK,False
9042,Hay demasiadas cosas abiertas y ninguna se termina.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.046,0.002,0.997,0.007,0.002,0.003,OK,False
9043,Estamos a punto de cerrar versión y falta validar todo.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.076,0.003,0.998,0.009,0.002,0.003,OK,False
9044,El test de integración sigue rojo y no queda tiempo.,['SOBRECARGA_URGENCIA'],['NEUTRO'],0.004,0.005,0.009,0.064,0.007,0.012,0.920,SOBRECARGA_URGENCIA:FN; NEUTRO:FP,False
9045,Me han metido otra entrega y ya iba al límite.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.006,0.004,0.994,0.004,0.002,0.004,OK,False
9046,Nos piden un cambio urgente y no hay margen.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.071,0.002,0.997,0.005,0.002,0.003,OK,False
9047,No me da la vida: entre prácticas y TFG voy desbordado.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.008,0.003,0.995,0.007,0.002,0.003,OK,False
9048,Se nos ha caído el servidor justo antes de subirlo.,['SOBRECARGA_URGENCIA'],"['ENFADO_IRRITACION', 'SOBRECARGA_URGENCIA']",0.002,0.002,0.375,0.769,0.003,0.006,0.034,ENFADO_IRRITACION:FP,False
9049,La entrega es inminente y el documento está a medias.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.181,0.002,0.994,0.075,0.001,0.002,OK,False
9050,Voy tarde con el informe y la reunión es en 10 minutos.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.004,0.004,0.992,0.005,0.002,0.005,OK,False
9051,"Si hoy no lo cerramos, suspendemos seguro.",['SOBRECARGA_URGENCIA'],"['ESTRES_ANSIEDAD', 'SOBRECARGA_URGENCIA']",0.004,0.978,0.004,0.995,0.007,0.005,0.006,ESTRES_ANSIEDAD:FP,False
9052,Tengo que entregar mañana y aún no compila.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.007,0.004,0.994,0.005,0.002,0.004,OK,False
9053,Esto tiene máxima prioridad; todo lo demás puede esperar.,['SOBRECARGA_URGENCIA'],"['ESTRES_ANSIEDAD', 'SOBRECARGA_URGENCIA']",0.003,0.979,0.004,0.993,0.005,0.004,0.007,ESTRES_ANSIEDAD:FP,False
9054,Me quedan 15 minutos y todavía no he exportado el PDF.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.005,0.004,0.990,0.004,0.002,0.007,OK,False
9055,El PR es crítico y sin él no podemos continuar.,['SOBRECARGA_URGENCIA'],"['ESTRES_ANSIEDAD', 'SOBRECARGA_URGENCIA']",0.002,0.859,0.003,0.995,0.005,0.002,0.004,ESTRES_ANSIEDAD:FP,False
9056,No llego a repasar y el examen es esta tarde.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.002,0.016,0.004,0.997,0.007,0.002,0.003,OK,False
9057,Estoy apagando fuegos todo el día; no avanzo.,['SOBRECARGA_URGENCIA'],['CANSANCIO_FATIGA'],0.004,0.009,0.008,0.015,0.986,0.004,0.006,SOBRECARGA_URGENCIA:FN; CANSANCIO_FATIGA:FP,False
9058,Queda por hacer la validación final y el plazo es ya.,['SOBRECARGA_URGENCIA'],['NEUTRO'],0.003,0.006,0.006,0.172,0.005,0.009,0.872,SOBRECARGA_URGENCIA:FN; NEUTRO:FP,False
9059,Necesitamos un fix de emergencia antes de la demo.,['SOBRECARGA_URGENCIA'],['SOBRECARGA_URGENCIA'],0.001,0.016,0.002,0.981,0.002,0.002,0.020,OK,False
9060,Tengo un nudo en la garganta y no consigo relajarme.,['ESTRES_ANSIEDAD'],['CANSANCIO_FATIGA'],0.002,0.020,0.002,0.281,0.654,0.001,0.001,ESTRES_ANSIEDAD:FN; CANSANCIO_FATIGA:FP,False
9061,Me tiembla la mano al escribir y estoy muy tenso.,['ESTRES_ANSIEDAD'],['CANSANCIO_FATIGA'],0.050,0.004,0.009,0.068,0.338,0.004,0.002,ESTRES_ANSIEDAD:FN; CANSANCIO_FATIGA:FP,False
9062,Siento el corazón acelerado desde hace rato.,['ESTRES_ANSIEDAD'],['POSITIVO_ALIVIO'],0.071,0.084,0.099,0.006,0.050,0.598,0.132,ESTRES_ANSIEDAD:FN; POSITIVO_ALIVIO:FP,False
9063,Estoy con la cabeza dando vueltas y no paro.,['ESTRES_ANSIEDAD'],['SOBRECARGA_URGENCIA'],0.001,0.108,0.002,0.995,0.005,0.001,0.003,ESTRES_ANSIEDAD:FN; SOBRECARGA_URGENCIA:FP,False
9064,Me cuesta respirar hondo; estoy muy nervioso.,['ESTRES_ANSIEDAD'],['ESTRES_ANSIEDAD'],0.010,0.977,0.011,0.029,0.029,0.007,0.012,OK,False
9065,No puedo dejar de pensar en si lo voy a hacer mal.,['ESTRES_ANSIEDAD'],"['ESTRES_ANSIEDAD', 'CANSANCIO_FATIGA']",0.005,0.939,0.004,0.007,0.773,0.006,0.016,CANSANCIO_FATIGA:FP,False
9066,Me sudan las manos solo de abrir el documento.,['ESTRES_ANSIEDAD'],['NEUTRO'],0.007,0.013,0.011,0.011,0.012,0.017,0.973,ESTRES_ANSIEDAD:FN; NEUTRO:FP,False
9067,"Estoy inquieto, no consigo estar sentado.",['ESTRES_ANSIEDAD'],['CANSANCIO_FATIGA'],0.154,0.022,0.016,0.002,0.407,0.016,0.008,ESTRES_ANSIEDAD:FN; CANSANCIO_FATIGA:FP,False
9068,Tengo la sensación de que algo va a salir mal sí o sí.,['ESTRES_ANSIEDAD'],['ESTRES_ANSIEDAD'],0.089,0.530,0.055,0.008,0.008,0.025,0.025,OK,False
9069,Me duele el estómago de la ansiedad.,['ESTRES_ANSIEDAD'],['ESTRES_ANSIEDAD'],0.006,0.985,0.009,0.089,0.013,0.006,0.016,OK,False
9070,Estoy en alerta constante y me agota.,['ESTRES_ANSIEDAD'],['SOBRECARGA_URGENCIA'],0.001,0.192,0.004,0.981,0.163,0.001,0.001,ESTRES_ANSIEDAD:FN; SOBRECARGA_URGENCIA:FP,False
9071,Me bloqueo y me quedo mirando la pantalla sin avanzar.,['ESTRES_ANSIEDAD'],"['ESTRES_ANSIEDAD', 'SOBRECARGA_URGENCIA']",0.002,0.812,0.002,0.995,0.027,0.002,0.003,SOBRECARGA_URGENCIA:FP,False
9072,Estoy rumiando la presentación todo el día.,['ESTRES_ANSIEDAD'],['CANSANCIO_FATIGA'],0.007,0.011,0.065,0.001,0.466,0.017,0.027,ESTRES_ANSIEDAD:FN; CANSANCIO_FATIGA:FP,False
9073,Me siento a punto de explotar de los nervios.,['ESTRES_ANSIEDAD'],['ESTRES_ANSIEDAD'],0.007,0.984,0.009,0.061,0.015,0.007,0.016,OK,False
9074,Me late fuerte el pecho y me asusta.,['ESTRES_ANSIEDAD'],['TRISTEZA'],0.428,0.015,0.020,0.008,0.079,0.106,0.018,TRISTEZA:FP; ESTRES_ANSIEDAD:FN,False
9075,"Estoy hipersensible, cualquier cosa me altera.",['ESTRES_ANSIEDAD'],['ESTRES_ANSIEDAD'],0.011,0.845,0.030,0.005,0.059,0.008,0.014,OK,False
9076,No consigo concentrarme por la preocupación.,['ESTRES_ANSIEDAD'],"['ESTRES_ANSIEDAD', 'SOBRECARGA_URGENCIA']",0.001,0.504,0.002,0.517,0.003,0.002,0.024,SOBRECARGA_URGENCIA:FP,False
9077,Se me acelera la respiración cuando pienso en el examen.,['ESTRES_ANSIEDAD'],['NEUTRO'],0.005,0.022,0.019,0.007,0.010,0.015,0.952,ESTRES_ANSIEDAD:FN; NEUTRO:FP,False
9078,Siento presión en el pecho y la mente a mil.,['ESTRES_ANSIEDAD'],"['ESTRES_ANSIEDAD', 'SOBRECARGA_URGENCIA']",0.002,0.963,0.003,0.952,0.003,0.003,0.010,SOBRECARGA_URGENCIA:FP,False
9079,Me despierto pensando en esto y sigo igual todo el día.,['ESTRES_ANSIEDAD'],[],0.008,0.002,0.025,0.232,0.021,0.014,0.007,ESTRES_ANSIEDAD:FN,False
9080,Estoy hiperactivo de nervios; no paro quieto.,['ESTRES_ANSIEDAD'],['ESTRES_ANSIEDAD'],0.008,0.982,0.011,0.032,0.026,0.008,0.016,OK,False
9081,Me está entrando pánico con la defensa.,['ESTRES_ANSIEDAD'],"['ESTRES_ANSIEDAD', 'SOBRECARGA_URGENCIA']",0.002,0.828,0.002,0.995,0.003,0.002,0.005,SOBRECARGA_URGENCIA:FP,False
9082,Tengo taquicardia y necesito calmarme ya.,['ESTRES_ANSIEDAD'],"['ESTRES_ANSIEDAD', 'SOBRECARGA_URGENCIA']",0.004,0.990,0.006,0.983,0.005,0.005,0.006,SOBRECARGA_URGENCIA:FP,False
9083,Me cuesta tragar; estoy muy ansioso.,['ESTRES_ANSIEDAD'],['ESTRES_ANSIEDAD'],0.056,0.737,0.016,0.004,0.097,0.009,0.010,OK,False
9084,No paro de repasar mentalmente lo que voy a decir.,['ESTRES_ANSIEDAD'],['ESTRES_ANSIEDAD'],0.004,0.977,0.006,0.037,0.025,0.005,0.026,OK,False
9085,Estoy a punto de llorar por la tensión.,['ESTRES_ANSIEDAD'],['NEUTRO'],0.007,0.054,0.033,0.003,0.009,0.042,0.779,ESTRES_ANSIEDAD:FN; NEUTRO:FP,False
9086,"Me siento sobrepasado mentalmente, como en bucle.",['ESTRES_ANSIEDAD'],['TRISTEZA'],0.617,0.038,0.017,0.008,0.023,0.080,0.041,TRISTEZA:FP; ESTRES_ANSIEDAD:FN,False
9087,Cada notificación me dispara la ansiedad.,['ESTRES_ANSIEDAD'],"['ESTRES_ANSIEDAD', 'SOBRECARGA_URGENCIA']",0.003,0.990,0.006,0.437,0.006,0.005,0.015,SOBRECARGA_URGENCIA:FP,False
9088,Me mareo un poco del estrés; necesito parar.,['ESTRES_ANSIEDAD'],[],0.042,0.027,0.117,0.002,0.022,0.049,0.053,ESTRES_ANSIEDAD:FN,False
9089,Estoy con el pulso a mil y no sé cómo bajarlo.,['ESTRES_ANSIEDAD'],"['ESTRES_ANSIEDAD', 'SOBRECARGA_URGENCIA']",0.004,0.979,0.005,0.993,0.005,0.004,0.006,SOBRECARGA_URGENCIA:FP,False
9090,Hoy voy arrastrando sueño y me cuesta pensar.,['CANSANCIO_FATIGA'],"['SOBRECARGA_URGENCIA', 'CANSANCIO_FATIGA']",0.004,0.005,0.003,0.920,0.933,0.004,0.004,SOBRECARGA_URGENCIA:FP,False
9091,No he descansado nada y estoy funcionando a medias.,['CANSANCIO_FATIGA'],['SOBRECARGA_URGENCIA'],0.002,0.006,0.004,0.993,0.098,0.002,0.002,SOBRECARGA_URGENCIA:FP; CANSANCIO_FATIGA:FN,False
9092,Me pesan los párpados y se me cierran solos.,['CANSANCIO_FATIGA'],['SOBRECARGA_URGENCIA'],0.002,0.006,0.002,0.966,0.105,0.001,0.002,SOBRECARGA_URGENCIA:FP; CANSANCIO_FATIGA:FN,False
9093,Estoy reventado; necesito dormir cuanto antes.,['CANSANCIO_FATIGA'],['CANSANCIO_FATIGA'],0.004,0.009,0.004,0.104,0.993,0.004,0.006,OK,False
9094,"Tengo la cabeza espesa, como si no procesara.",['CANSANCIO_FATIGA'],['CANSANCIO_FATIGA'],0.003,0.011,0.006,0.006,0.969,0.005,0.011,OK,False
9095,Llevo varios días durmiendo mal y se nota.,['CANSANCIO_FATIGA'],['SOBRECARGA_URGENCIA'],0.002,0.016,0.002,0.985,0.176,0.002,0.002,SOBRECARGA_URGENCIA:FP; CANSANCIO_FATIGA:FN,False
9096,"Estoy agotado físicamente, me duele todo.",['CANSANCIO_FATIGA'],['CANSANCIO_FATIGA'],0.019,0.054,0.028,0.002,0.880,0.005,0.004,OK,False
9097,No tengo energía ni para contestar mensajes.,['CANSANCIO_FATIGA'],['CANSANCIO_FATIGA'],0.005,0.025,0.003,0.007,0.989,0.004,0.013,OK,False
9098,Me siento sin fuerzas para empezar la tarea.,['CANSANCIO_FATIGA'],['SOBRECARGA_URGENCIA'],0.003,0.005,0.003,0.653,0.002,0.007,0.116,SOBRECARGA_URGENCIA:FP; CANSANCIO_FATIGA:FN,False
9099,"Estoy hecho polvo, hoy no doy una.",['CANSANCIO_FATIGA'],['CANSANCIO_FATIGA'],0.006,0.010,0.006,0.013,0.988,0.003,0.006,OK,False
9100,"Estoy zombie, llevo demasiadas horas despierto.",['CANSANCIO_FATIGA'],"['SOBRECARGA_URGENCIA', 'CANSANCIO_FATIGA']",0.002,0.019,0.003,0.843,0.951,0.002,0.003,SOBRECARGA_URGENCIA:FP,False
9101,Me cuesta incluso leer dos líneas del cansancio.,['CANSANCIO_FATIGA'],['SOBRECARGA_URGENCIA'],0.001,0.054,0.001,0.894,0.114,0.001,0.002,SOBRECARGA_URGENCIA:FP; CANSANCIO_FATIGA:FN,False
9102,Necesito desconectar porque no me da el cerebro.,['CANSANCIO_FATIGA'],['CANSANCIO_FATIGA'],0.001,0.006,0.013,0.012,0.325,0.004,0.035,OK,False
9103,Estoy tan cansado que me falla la atención.,['CANSANCIO_FATIGA'],"['TRISTEZA', 'CANSANCIO_FATIGA']",0.523,0.007,0.019,0.003,0.933,0.011,0.006,TRISTEZA:FP,False
9104,Me siento drenado; me quedo sin batería.,['CANSANCIO_FATIGA'],['TRISTEZA'],0.666,0.013,0.005,0.009,0.249,0.036,0.019,TRISTEZA:FP; CANSANCIO_FATIGA:FN,False
9105,Me fastidia muchísimo que lo cambien sin avisar.,['ENFADO_IRRITACION'],['ENFADO_IRRITACION'],0.052,0.040,0.803,0.004,0.026,0.084,0.028,OK,False
9106,Estoy bastante cabreado con cómo se ha gestionado esto.,['ENFADO_IRRITACION'],['ENFADO_IRRITACION'],0.018,0.014,0.918,0.019,0.025,0.036,0.018,OK,False
9107,Me saca de quicio que nadie responda y luego corra todo.,['ENFADO_IRRITACION'],['ENFADO_IRRITACION'],0.032,0.018,0.830,0.007,0.015,0.155,0.058,OK,False
9108,Me enerva que siempre caiga en mí el trabajo.,['ENFADO_IRRITACION'],"['ENFADO_IRRITACION', 'POSITIVO_ALIVIO']",0.136,0.054,0.397,0.015,0.046,0.801,0.097,POSITIVO_ALIVIO:FP,False
9109,"Estoy irritado, esto se podría haber evitado.",['ENFADO_IRRITACION'],['CANSANCIO_FATIGA'],0.126,0.087,0.024,0.002,0.327,0.008,0.006,ENFADO_IRRITACION:FN; CANSANCIO_FATIGA:FP,False
9110,Estoy desanimado y siento que no avanzo nada.,['TRISTEZA'],['TRISTEZA'],0.939,0.032,0.017,0.023,0.051,0.112,0.052,OK,False
9111,Me ha dado un bajón enorme y me cuesta seguir.,['TRISTEZA'],['TRISTEZA'],0.692,0.012,0.023,0.119,0.019,0.098,0.022,OK,False
9112,Me siento solo con el proyecto y me viene abajo.,['TRISTEZA'],[],0.137,0.008,0.013,0.231,0.003,0.035,0.026,TRISTEZA:FN,False
9113,"Hoy estoy triste, no tengo ganas de nada.",['TRISTEZA'],"['TRISTEZA', 'CANSANCIO_FATIGA']",0.937,0.015,0.012,0.014,0.266,0.047,0.028,CANSANCIO_FATIGA:FP,False
9114,Siento que todo me sale mal y me hunde.,['TRISTEZA'],['TRISTEZA'],0.886,0.033,0.025,0.028,0.036,0.236,0.054,OK,False
9115,"Uf, por fin ha salido bien; qué alivio.",['POSITIVO_ALIVIO'],['POSITIVO_ALIVIO'],0.035,0.078,0.097,0.028,0.031,0.768,0.549,OK,False
9116,"Menos mal, ya está resuelto y me quedo tranquilo.",['POSITIVO_ALIVIO'],['POSITIVO_ALIVIO'],0.100,0.044,0.072,0.069,0.042,0.666,0.121,OK,False
9117,"Genial, esto nos quita un peso de encima.",['POSITIVO_ALIVIO'],['ENFADO_IRRITACION'],0.007,0.010,0.562,0.044,0.004,0.104,0.053,ENFADO_IRRITACION:FP; POSITIVO_ALIVIO:FN,False
9118,"Perfecto, era justo lo que necesitábamos; gracias.",['POSITIVO_ALIVIO'],['NEUTRO'],0.007,0.013,0.029,0.008,0.009,0.053,0.964,POSITIVO_ALIVIO:FN; NEUTRO:FP,False
9119,"Qué buena noticia, me relaja un montón.",['POSITIVO_ALIVIO'],['POSITIVO_ALIVIO'],0.031,0.058,0.253,0.015,0.022,0.763,0.406,OK,False
